Class,Address,Entity,Average Life in seconds,Average Life in minutes,Average Life in hours
dex,0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,IDEX 2,9.984008104,0.166400135,0.002773336
exchange,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex 1,26.877213,0.44795355,0.007465893
icowallets,0xaf518d65f84e4695a4da0450ec02c1248f56b668,Substratum,2338.834598,38.98057664,0.649676277
mining,0xea674fdde714fd979de3edf0f56aa9716b898ec8,Ethermine,6.233536,0.103892267,0.001731538
walletapp,0x7ed1e469fcb3ee19c0366d829e291451be638e59,Freewallet,320.3336967,5.338894945,0.088981582
