from_address,outether_total,outether_avg,outether_std,outether_max,outether_min
0x433022c4066558e7a32d850f02d2da5ca782174d,6201.050093527,1.850507339,2.3001794080976232,31.78,0.0
0x464b0b37db1ee1b5fbe27300acfbf172fd5e4f53,48079.47814053,0.362546587,1.6184747039829237,114.0,0.0
0xc839ee5542b4e8413246b3634c5c739fea949562,193.816919316,0.089440203,0.5985441807452663,19.631357682,0.0
0x35f61dfb08ada13eba64bf156b80df3d5b3a738d,111297.925403013,1.235271092,3.4667220372466363,127.0,0.0
0x9435d50503aee35c8757ae4933f7a0ab56597805,121028.310171352,0.724247708,4.198229777503079,799.9,0.0
0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,216378.386719216,3.182690359,9.4593368440629,386.4113063,0.0
0x829bd824b016326a401d083b33d092293333a830,3044391.0613962,0.348947299,6.862126052986439,4900.0,0.0
0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,127395.9926946,0.559672413,2.82917486613616,1000.0,0.0
0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,205675.435034018,1.680588276,7.184879502463152,218.0,0.0
0x7c6694032b4db11ac485e1cff0f7509d58b41569,7675.708725889,0.112031245,0.48917024364792433,79.0,0.0
0xea674fdde714fd979de3edf0f56aa9716b898ec8,6818717.918183088,0.263045454,1.444212371944795,1000.0,0.0
0x06b8c5883ec71bc3f4b332081519f23834c8706e,68711.869064522,4.148265459,4.519148208603411,211.516448035,0.0
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,380044.63791962,1.135794045,5.34444218763412,1000.0,0.0
0xa027231f42c80ca4125b5cb962a21cd4f812e88f,143576.689704803,0.950480214,5.719081812649365,414.869680915,0.0
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,4210829.263258941,0.280015788,2.2248611051847553,1000.0,0.0
0x9d551f41fed6fc27b719777c224dfecce170004d,31544.82304473,2.044515072,4.124808230590817,104.431043517,0.0
0x9d6d492bd500da5b33cf95a5d610a73360fcaaa0,71672.288152915,4.270274556,34.571822889028844,1537.1563089,0.0
0xa3c084ae80a3f03963017669bc696e961d3ae5d5,6027.967719164,0.555777957,1.3795927136480717,26.321357045,0.0
0x63a9975ba31b0b9626b34300f7f627147df1f526,312856.09724539,1.144555,8.453036490538294,1500.0,0.0
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,1403578.990828944,4.668264211,2.5583250222941705,300.0,0.0
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,3239622.665953849,0.536473193,8.653941308573199,4841.096623297,0.0
0x52e44f279f4203dcf680395379e5f9990a69f13c,132121.0,2811.085106383,2345.8101393741886,6890.0,1.0
0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,606072.162353367,13774.367326213,19274.059579209956,75000.0,1.0
0x8d35067233605bef6069191ae0922d134ff80d48,6465.97126138,45.216582247,29.167107384051878,103.91,1.0
0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,80099.166,167.922779874,85.24742606663945,750.0,1.0
0xf35074bbd0a9aee46f4ea137971feec024ab704e,16665.390574973,3.21787808,2.796774766413361,40.234694707,0.055385844
0x99c85bb64564d9ef9a99621301f22c9993cb89e3,48899.64113117,0.333140132,1.360181655259175,100.0247,0.0168
0x44fd3ab8381cc3d14afa7c4af7fd13cdc65026e1,20532.174662493,0.114483594,0.4571884525619754,60.0,2.59E-7
0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,62970.781251809,0.697945992,6.302713155037727,401.803314641,0.001636115
0x8fce1ef27f3add1411c7a99be402de598ad38389,2673.203257796,1.54431153,3.4707379358073758,79.578759477,0.024014243
0x2a98776c7e13ed1c240858bd241dcf95fc1928b4,573.197441509,1.917048299,0.9709088100317979,5.896708391,0.0107
0xf64f9720cfcb59ca4f5f45e6fdb3f68b875b7295,1089.670256438,0.610459527,1.5074702789846175,20.075806072,1.0E-4
0xe16263ee79b0ee32c242c99f02559e92abaea9eb,478.774797699,0.643514513,0.8095393604045645,7.1587713,0.05007515
0x2a65aca4d5fc5b5c859090a6c34d164135398226,4754344.599199601,1.020573257,7.600407241178576,13750.0,1.0E-8
0x6b7d50bb8fab584e54251a10e1c6cfa51dd7b618,28145.513387466,0.83704129,4.5729273203092,335.394354505,0.00603048
0xd1e56c2e765180aa0371928fd4d1e41fbcda34d4,16888.318412954,1.181249102,3.6136049162658095,89.623551545,0.018877429
0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,258310.961669655,4.157387567,17.596717929161112,1167.78037607,5.56E-6
0x09ab1303d3ccaf5f018cd511146b07a240c70294,77517.654786206,3.217568271,13.185740075975739,320.0,0.001403905
0xd34da389374caad1a048fbdc4569aae33fd5a375,282675.692705016,0.245715851,59.06979754098349,62434.0,0.01000029
0xf8b483dba2c3b7176a3da549ad41a48bb3121069,874764.87472032,3.17742757,10.248094779733307,1500.0,0.01
0xa7b0536fb02c593b0dfd82bd65aacbdd19ae4777,21207.589639687,504.942610469,873.4592169662399,4086.285729375,0.01
0x14b30f257c2737370203a15aa343c2b600dfb675,213.177414807,0.877273312,1.6734349707469993,20.0,0.01
0x4e4e23ac3c11789e23169025503ea4373b01417b,2879.7,143.985,121.46861533139462,580.99,0.01
0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,80464.884587611,0.194795798,1.6820482934130456,948.07,0.001002427
0xe6a7a1d47ff21b6321162aea7c6cb457d5476bca,164932.449506304,8.916713494,22.330100920998817,760.800040206,0.499258499
0x8595dd9e0438640b5e1254f9df579ac12a86865f,5820.418876366,0.139772799,0.8986058960516425,99.9,3.40423E-4
0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,175998.9394241,2.612035314,12.318638085094967,2425.87,0.1000225
0x47c439c8784b44366735fc2cfe08228cb91d5b8e,80.754925935,0.160866386,0.2961892480573708,2.180159396,0.001050423
0x6537b65a50a862391515455272f9b6c7168afe94,353.100535805,0.519265494,1.0287449143359704,7.021907036,0.05
0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,65803.3224739,0.075096259,0.18257108899771807,38.024242394,0.020000009
0x52f13e25754d822a3550d0b68fdefe9304d27ae8,2676.203694211,0.83215289,1.392689439817775,37.279016139,5.01092E-4
0x7f3b29ae0d5edae9bb148537d4ed2b12beddf8b3,5833.701597032,2.985517706,4.754454148250374,50.0,0.001111234
0x6c3183792fbb4a4dd276451af6baf5c66d5f5e48,5384.929768641,0.096654816,0.35258623576086995,16.813847846,1.05E-4
0x002e08000acbbae2155fab7ac01929564949070d,61319.094687126,2.394902933,1.3993529361209138,23.766574425,0.100002611
0x249bdb4499bd7c683664c149276c1d86108e2137,3066.673486897,0.12873283,0.37464204448307376,12.686670957,0.010000052
0xff1b891969773159366ab6310ff63a69ac4acffd,9358.065709401,3.176532827,1.5141713668490264,32.189250545,0.102109237
0xda466bf1ce3c69dbef918817305cf989a6353423,27138.47546216,0.762680928,9.255572910627059,1018.31909417,0.0095
0xd0db3c9cf4029bac5a9ed216cd174cba5dbf047c,1032.972525171,0.43166424,0.448181648841032,11.437939954,0.011907689
0xa855c20a1351acd2690c716e2709c7dff3978d12,19111.294059955,217.173796136,257.9728409198916,1125.0,0.008874
0xe4bdced60430a90f31dba03524dd5d15a2670649,36595.786802776,0.378387911,1.1794122975499874,100.0,2.9925E-4
0xd5bbb4264b70ca4f58c45d27b9d7e11190754a54,935.435567496,0.09546235,0.17520894412093801,6.575168852,0.001
0xcf6ce585cb4a78a6f96e6c8722927161a696f337,1043.392315472,2.082619392,0.6650714664189372,6.545656337,0.008
