from_address,indegree,sum_inether,avg_inether,inether_max,inether_min,std_inether
0x7ed1e469fcb3ee19c0366d829e291451be638e59,614342,1633651.175,2.659188489,9500,0,41.49965052
0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,914752,153073.0847,0.167338344,999.999958,0,2.605109256
0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a,22228,68954.99934,3.102168407,3088.999706,0,35.04135418
0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,26859,461061.9901,17.16601475,33417.49128,0,435.0060644
0x28c9386ebab8d52ead4a327e6423316435b2d4fc,736,80130.21798,108.8725788,10000,0.00248,570.4823198
